Site,Total,Positive,Negative,MeanIntensity,PercentagePrevalence
1 ,123 ,12 ,111 ,0.12 ,9.76 
2 ,605 ,82 ,523 ,0.19 ,13.55 
3 ,91 ,15 ,76 ,0.21 ,16.48 
4 ,34 ,7 ,27 ,0.29 ,20.59 
5 ,684 ,158 ,526 ,0.36 ,23.1 
6 ,193 ,55 ,138 ,0.56 ,28.5 
7 ,529 ,115 ,414 ,0.98 ,21.74 
8 ,540 ,211 ,329 ,1.06 ,39.07 
9 ,165 ,60 ,105 ,1.14 ,36.36 
10 ,39 ,21 ,18 ,1.85 ,53.85 
11 ,32 ,19 ,13 ,2.31 ,59.38 
12 ,61 ,36 ,25 ,2.34 ,59.02 
13 ,47 ,29 ,18 ,2.89 ,61.7 
14 ,154 ,97 ,57 ,2.97 ,62.99 
15 ,136 ,79 ,57 ,3.15 ,58.09 
16 ,113 ,80 ,33 ,4.42 ,70.8 
17 ,59 ,42 ,17 ,5.44 ,71.19 
18 ,47 ,34 ,13 ,7.36 ,72.34 
19 ,203 ,138 ,65 ,7.7 ,67.98 
20 ,39 ,31 ,8 ,8.44 ,79.49 
21 ,783 ,604 ,179 ,9.6 ,77.14 
22 ,326 ,278 ,48 ,9.89 ,85.28 
23 ,606 ,512 ,94 ,11.39 ,84.49 
24 ,179 ,166 ,13 ,14.9 ,92.74 
25 ,262 ,241 ,21 ,15.4 ,91.98 
26 ,244 ,212 ,32 ,18.7 ,86.89 
27 ,226 ,208 ,18 ,18.8 ,92.04 
28 ,252 ,216 ,36 ,19.8 ,85.71 
29 ,202 ,158 ,44 ,20.4 ,78.22 
30 ,342 ,325 ,17 ,33.1 ,95.03 
